Entry	Entry name	Protein names	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology (biological process)	Length	Mass
F51511	sdfsdf	sdfsdfsdf				12	12
Q12471	6P22_YEAST	6-phosphofructo-2-kinase 2 (6PF-2-K 2) (EC 2.7.1.105) (Phosphofructokinase 2 II)	cytoplasm [GO:0005737]	6-phosphofructo-2-kinase activity [GO:0003873]; ATP binding [GO:0005524]	fructose 2,6-bisphosphate metabolic process [GO:0006003]; fructose metabolic process [GO:0006000]; regulation of glycolytic process [GO:0006110]	397	45,318
P38720	6PGD1_YEAST	6-phosphogluconate dehydrogenase, decarboxylating 1 (EC 1.1.1.44)	cytoplasm [GO:0005737]	phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]	cellular response to oxidative stress [GO:0034599]; D-gluconate metabolic process [GO:0019521]; pentose-phosphate shunt, oxidative branch [GO:0009051]	489	53,543
Q02895	AAD16_YEAST	Putative aryl-alcohol dehydrogenase AAD16 (EC 1.1.1.-)		aryl-alcohol dehydrogenase (NAD+) activity [GO:0018456]	cellular aldehyde metabolic process [GO:0006081]	342	39,683
P32357	AAR2_YEAST	A1 cistron-splicing factor AAR2	cytoplasm [GO:0005737]; U5 snRNP [GO:0005682]		spliceosomal tri-snRNP complex assembly [GO:0000244]	355	41,688
Q08981	ACM1_YEAST	APC/C-CDH1 modulator 1	cytoplasm [GO:0005737]; nucleus [GO:0005634]	ubiquitin-protein transferase inhibitor activity [GO:0055105]	cell division [GO:0051301]; mitotic nuclear division [GO:0007067]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	209	23,87
P40535	ACA2_YEAST	ATF/CREB activator 2 (Chromosome stability protein CST6)	cytosol [GO:0005829]; nucleus [GO:0005634]	sequence-specific DNA binding [GO:0043565]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]	cellular response to carbon dioxide [GO:0071244]; cellular response to oleic acid [GO:0071400]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter by oleic acid [GO:0061429]; regulation of transcription from RNA polymerase II promoter in response to stress [GO:0043618]	587	65,264
Q00955	ACAC_YEAST	Acetyl-CoA carboxylase (ACC) (EC 6.4.1.2) (Fatty acid synthetase 3) (mRNA transport-defective protein 7) [Includes: Biotin carboxylase (EC 6.3.4.14)]	endoplasmic reticulum membrane [GO:0005789]	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; metal ion binding [GO:0046872]	long-chain fatty acid biosynthetic process [GO:0042759]; malonyl-CoA biosynthetic process [GO:2001295]; nuclear envelope organization [GO:0006998]; protein import into nucleus [GO:0006606]	2233	250,353
Q07622	ACK1_YEAST	Activator of C kinase protein 1			fungal-type cell wall organization [GO:0031505]; positive regulation of signal transduction [GO:0009967]	623	69,371
P21147	ACO1_YEAST	Acyl-CoA desaturase 1 (EC 1.14.19.1) (Delta 9 fatty acid desaturase) (Fatty acid desaturase 1) (Stearoyl-CoA desaturase 1)	integral component of endoplasmic reticulum membrane [GO:0030176]	electron carrier activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; stearoyl-CoA 9-desaturase activity [GO:0004768]	long-chain fatty acid biosynthetic process [GO:0042759]; mitochondrion inheritance [GO:0000001]; unsaturated fatty acid biosynthetic process [GO:0006636]	510	58,403
P25612	AAD3_YEAST	Putative aryl-alcohol dehydrogenase AAD3 (EC 1.1.1.-)		aryl-alcohol dehydrogenase (NAD+) activity [GO:0018456]	cellular aldehyde metabolic process [GO:0006081]	363	40,911
P37898	AAP1_YEAST	Alanine/arginine aminopeptidase (EC 3.4.11.-)	plasma membrane [GO:0005886]	aminopeptidase activity [GO:0004177]; metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270]	glycogen metabolic process [GO:0005977]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]	856	97,663
P08521	AAP_YEAST	Arginine attenuator peptide (AAP) (CPA1 leader peptide)	cytosol [GO:0005829]	translation regulator activity [GO:0045182]	regulation of translation [GO:0006417]	25	2,979
Q02486	ABF2_YEAST	ARS-binding factor 2, mitochondrial	mitochondrial chromosome [GO:0000262]; mitochondrial nucleoid [GO:0042645]; nucleus [GO:0005634]	DNA binding [GO:0003677]; DNA binding, bending [GO:0008301]	mitochondrial DNA packaging [GO:0090139]; mitochondrial genome maintenance [GO:0000002]; mitochondrion inheritance [GO:0000001]	183	21,562
P32316	ACH1_YEAST	Acetyl-CoA hydrolase (EC 3.1.2.1) (Acetyl-CoA deacylase) (Acetyl-CoA acylase)	cytosol [GO:0005829]; mitochondrion [GO:0005739]	acetate CoA-transferase activity [GO:0008775]; acetyl-CoA hydrolase activity [GO:0003986]	acetate metabolic process [GO:0006083]; acetyl-CoA metabolic process [GO:0006084]; propionate metabolic process, methylcitrate cycle [GO:0019679]	526	58,712
Q00362	2ABA_YEAST	Protein phosphatase PP2A regulatory subunit B (Cell division control protein 55) (PR55)	cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type vacuole membrane [GO:0000329]; mating projection tip [GO:0043332]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]	protein phosphatase type 2A regulator activity [GO:0008601]	developmental process [GO:0032502]; mitotic G2/M transition checkpoint [GO:0044818]; negative regulation of exit from mitosis [GO:0001100]; peptidyl-serine dephosphorylation [GO:0070262]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of transcription by transcription factor localization [GO:0061586]; protein dephosphorylation [GO:0006470]; regulation of mitotic cell cycle spindle assembly checkpoint [GO:0090266]	526	59,662
Q08361	AAD15_YEAST	Putative aryl-alcohol dehydrogenase AAD15 (EC 1.1.1.-)		aryl-alcohol dehydrogenase (NAD+) activity [GO:0018456]	cellular aldehyde metabolic process [GO:0006081]	143	15,722
Q07747	AAD4_YEAST	Probable aryl-alcohol dehydrogenase AAD4 (EC 1.1.1.-)		aryl-alcohol dehydrogenase (NAD+) activity [GO:0018456]	cellular aldehyde metabolic process [GO:0006081]	329	36,977
P23542	AATC_YEAST	Aspartate aminotransferase, cytoplasmic (EC 2.6.1.1) (Transaminase A)	cytosol [GO:0005829]; peroxisome [GO:0005777]	identical protein binding [GO:0042802]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; L-phenylalanine:2-oxoglutarate aminotransferase activity [GO:0080130]; pyridoxal phosphate binding [GO:0030170]	2-oxoglutarate metabolic process [GO:0006103]; asparagine biosynthetic process from oxaloacetate [GO:0019266]; aspartate biosynthetic process [GO:0006532]; aspartate metabolic process [GO:0006531]; glutamate metabolic process [GO:0006536]	418	46,058
Q01802	AATM_YEAST	Aspartate aminotransferase, mitochondrial (EC 2.6.1.1) (Transaminase A)	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	identical protein binding [GO:0042802]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; L-phenylalanine:2-oxoglutarate aminotransferase activity [GO:0080130]; pyridoxal phosphate binding [GO:0030170]	2-oxoglutarate metabolic process [GO:0006103]; aspartate catabolic process [GO:0006533]; aspartate metabolic process [GO:0006531]; biosynthetic process [GO:0009058]; chronological cell aging [GO:0001300]; glutamate metabolic process [GO:0006536]; replicative cell aging [GO:0001302]	451	51,795
P39970	ACA1_YEAST	ATF/CREB activator 1	nucleus [GO:0005634]	sequence-specific DNA binding [GO:0043565]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]	positive regulation of transcription from RNA polymerase II promoter [GO:0045944]	489	54,592
