Entry	Mass	Length	Gene ontology IDs
Q12471	45,318	397	GO:0003873; GO:0005524; GO:0005737; GO:0006000; GO:0006003; GO:0006110
P38720	53,543	489	GO:0004616; GO:0005737; GO:0009051; GO:0019521; GO:0034599
Q02895	39,683	342	GO:0006081; GO:0018456
P32357	41,688	355	GO:0000244; GO:0005682; GO:0005737
Q08981	23,870	209	GO:0005634; GO:0005737; GO:0006351; GO:0006355; GO:0007067; GO:0051301; GO:0051436; GO:0055105
P40535	65,264	587	GO:0001077; GO:0005634; GO:0005829; GO:0043565; GO:0043618; GO:0045944; GO:0061429; GO:0071244; GO:0071400
Q00955	250,353	2233	GO:0003989; GO:0004075; GO:0005524; GO:0005789; GO:0006606; GO:0006998; GO:0042759; GO:0046872; GO:2001295
Q07622	69,371	623	GO:0009967; GO:0031505
P21147	58,403	510	GO:0000001; GO:0004768; GO:0005506; GO:0006636; GO:0009055; GO:0020037; GO:0030176; GO:0042759
P25612	40,911	363	GO:0006081; GO:0018456
P37898	97,663	856	GO:0004177; GO:0005886; GO:0005977; GO:0006508; GO:0008270; GO:0042277; GO:0043171; GO:0070006
P08521	2,979	25	GO:0005829; GO:0006417; GO:0045182
Q02486	21,562	183	GO:0000001; GO:0000002; GO:0000262; GO:0003677; GO:0005634; GO:0008301; GO:0042645; GO:0090139
P32316	58,712	526	GO:0003986; GO:0005739; GO:0005829; GO:0006083; GO:0006084; GO:0008775; GO:0019679
Q00362	59,662	526	GO:0000159; GO:0000329; GO:0001100; GO:0005634; GO:0005737; GO:0005829; GO:0005934; GO:0005935; GO:0006470; GO:0008601; GO:0010971; GO:0032502; GO:0043332; GO:0044818; GO:0061586; GO:0070262; GO:0090266; GO:1900182
Q08361	15,722	143	GO:0006081; GO:0018456
Q07747	36,977	329	GO:0006081; GO:0018456
P23542	46,058	418	GO:0004069; GO:0005777; GO:0005829; GO:0006103; GO:0006531; GO:0006532; GO:0006536; GO:0019266; GO:0030170; GO:0042802; GO:0080130
Q01802	51,795	451	GO:0001300; GO:0001302; GO:0004069; GO:0005739; GO:0005759; GO:0006103; GO:0006531; GO:0006533; GO:0006536; GO:0009058; GO:0030170; GO:0042802; GO:0080130
P39970	54,592	489	GO:0001077; GO:0005634; GO:0043565; GO:0045944
P28240	62,409	557	GO:0004451; GO:0005578; GO:0005737; GO:0005773; GO:0006097; GO:0006099; GO:0046421; GO:0046872; GO:0046912
Q03771	42,943	387	GO:0005634; GO:0005737; GO:0030433; GO:0042254
P39533	86,583	789	GO:0003994; GO:0005739; GO:0006099; GO:0019878; GO:0046872; GO:0051539
P19414	85,368	778	GO:0000002; GO:0003690; GO:0003697; GO:0003994; GO:0005758; GO:0005759; GO:0005829; GO:0006099; GO:0006626; GO:0042645; GO:0046872; GO:0051539
P14164	81,753	731	GO:0000113; GO:0000122; GO:0000978; GO:0001046; GO:0001077; GO:0003688; GO:0005634; GO:0006261; GO:0006338; GO:0030466; GO:0043565; GO:0044374; GO:0045944; GO:0070911
P47146	14,204	123	GO:0000226
P31787	10,061	87	GO:0000062; GO:0001300; GO:0005324; GO:0005576; GO:0008289; GO:0015909
Q01574	79,141	713	GO:0003987; GO:0005524; GO:0005634; GO:0005739; GO:0005783; GO:0005829; GO:0006085; GO:0016208; GO:0016573; GO:0016880; GO:0019427; GO:0019654
P10127	41,142	382	GO:0000947; GO:0004022; GO:0005739; GO:0006113; GO:0046872
P38903	85,335	757	GO:0000159; GO:0000776; GO:0000780; GO:0005634; GO:0005737; GO:0005816; GO:0005935; GO:0006470; GO:0007165; GO:0008601; GO:0031107; GO:0031134; GO:0031578; GO:0032186; GO:0034613; GO:0051754; GO:0070199
P31383	70,907	635	GO:0000159; GO:0005634; GO:0005737; GO:0005816; GO:0005934; GO:0005935; GO:0006417; GO:0006470; GO:0007094; GO:0043332
P47177	45,159	404	GO:0005737; GO:0018580
P47129	35,521	309	
P60010	41,690	375	GO:0000001; GO:0000011; GO:0000132; GO:0000142; GO:0000812; GO:0000916; GO:0001300; GO:0005200; GO:0005524; GO:0005884; GO:0006281; GO:0006887; GO:0006897; GO:0007119; GO:0009306; GO:0016573; GO:0030010; GO:0030050; GO:0030476; GO:0030479; GO:0031011; GO:0031505; GO:0032432; GO:0034599; GO:0035267
P21192	86,634	770	GO:0000083; GO:0000982; GO:0000987; GO:0005634; GO:0005829; GO:0006351; GO:0046872; GO:2001043
Q12031	64,976	575	GO:0005759; GO:0019629; GO:0046421; GO:0046912
P52910	75,492	683	GO:0001302; GO:0003987; GO:0005524; GO:0005634; GO:0005730; GO:0005829; GO:0006085; GO:0006090; GO:0016208; GO:0016573; GO:0016880; GO:0019427
P04710	34,121	309	GO:0003735; GO:0005471; GO:0005743; GO:0005758; GO:0005829; GO:0006412; GO:0006626; GO:0006783; GO:0006839; GO:0009060; GO:0015886; GO:0016021
P18238	33,313	307	GO:0003735; GO:0005471; GO:0005743; GO:0006412; GO:0009061; GO:0015886; GO:0016021; GO:0055085
P25613	30,726	283	GO:0005774; GO:0005886; GO:0006846; GO:0006847; GO:0008519; GO:0015123; GO:0015696; GO:0016021; GO:0019740; GO:0051321; GO:0055085
P33304	71,364	620	GO:0000750; GO:0000753; GO:0000767; GO:0001400; GO:0005057; GO:0008277
P32323	73,354	725	GO:0000752; GO:0005576; GO:0009277; GO:0031225; GO:0050839
P47182	32,570	288	GO:0006081; GO:0018456
