id	proteins	go_cell	go_mol	go_bio	nb_proteins	mass_mean	length_mean
0.0	P30619 P50090 P38928 P34225 P34226 Q99299 Q06160 P19658 P41698 P41697 Q04195 P53858 P25623 P22224 P32900 P48566 P25300 Q12344 P39944 P17065 P27637 P38261 P50111 Q04322 P50078 Q03088 P32844 P54786 P40020 P08018 	plasma membrane [GO:0005886] cellular bud tip [GO:0005934] cellular bud neck [GO:0005935] 	SNARE binding [GO:0000149] 	vesicle docking involved in exocytosis [GO:0006904] positive regulation of vesicle fusion [GO:0031340] exocytosis [GO:0006887] protein transport [GO:0015031] 	30	86953.2666667	770.766666667
0.0.0	P30619 P50090 P38928 P34225 P34226 Q99299 Q06160 P19658 P41698 P41697 Q04195 P53858 P25623 P22224 P32900 P48566 P25300 Q12344 P39944 P17065 P27637 P38261 P50111 Q04322 P50078 Q03088 P32844 P54786 P40020 P08018 	plasma membrane [GO:0005886] cellular bud tip [GO:0005934] cellular bud neck [GO:0005935] 	SNARE binding [GO:0000149] 	vesicle docking involved in exocytosis [GO:0006904] positive regulation of vesicle fusion [GO:0031340] exocytosis [GO:0006887] protein transport [GO:0015031] 	30	86953.2666667	770.766666667
0.0.0.0	P30619 P19658 P22224 P17065 P38261 P32844 	plasma membrane [GO:0005886] cellular bud tip [GO:0005934] cellular bud neck [GO:0005935] 	SNARE binding [GO:0000149] 	vesicle docking involved in exocytosis [GO:0006904] positive regulation of vesicle fusion [GO:0031340] exocytosis [GO:0006887] protein transport [GO:0015031] 	6	87242.6666667	762.333333333
0.0.0.1	P50090 P27637 	cellular bud tip [GO:0005934] mating projection tip [GO:0043332] cellular bud neck [GO:0005935] Kelch-containing formin regulatory complex [GO:1990615] 	 	regulation of cytokinesis [GO:0032465] negative regulation of exit from mitosis [GO:0001100] regulation of formin-nucleated actin cable assembly [GO:0090337] regulation of vesicle-mediated transport [GO:0060627] conjugation with cellular fusion [GO:0000747] 	2	89478.0	795.5
0.0.0.2	P38928 P34225 P34226 Q99299 P41698 Q04195 P53858 P25623 P32900 P25300 P39944 P50078 Q03088 P40020 	integral component of plasma membrane [GO:0005887] cellular bud neck [GO:0005935] septin ring [GO:0005940] 	calcium ion binding [GO:0005509] 	axial cellular bud site selection [GO:0007120] 	14	86061.2857143	766.928571429
0.0.0.3	Q06160 	incipient cellular bud site [GO:0000131] actomyosin contractile ring [GO:0005826] mating projection tip [GO:0043332] cellular bud tip [GO:0005934] cellular bud neck [GO:0005935] cell cortex of growing cell tip [GO:1902716] mating projection [GO:0005937] 	MAP-kinase scaffold activity [GO:0005078] 	regulation of cell shape [GO:0008360] invasive filamentous growth [GO:0036267] bipolar cellular bud site selection [GO:0007121] pseudohyphal growth [GO:0007124] mating projection assembly [GO:0031382] 	1	74007.0	661.0
0.0.0.4	P41697 	incipient cellular bud site [GO:0000131] polarisome [GO:0000133] spindle pole body [GO:0005816] mating projection tip [GO:0043332] cellular bud tip [GO:0005934] cellular bud neck [GO:0005935] 	actin binding [GO:0003779] enzyme activator activity [GO:0008047] cytoskeletal regulatory protein binding [GO:0005519] 	budding cell apical bud growth [GO:0007118] pseudohyphal growth [GO:0007124] extrachromosomal circular DNA localization involved in cell aging [GO:0034652] astral microtubule organization [GO:0030953] positive regulation of actin cytoskeleton reorganization [GO:2000251] actin filament bundle assembly [GO:0051017] positive regulation of formin-nucleated actin cable assembly [GO:0090338] establishment of cell polarity [GO:0030010] bipolar cellular bud site selection [GO:0007121] regulation of protein localization [GO:0032880] 	1	88817.0	788.0
0.0.0.5	P48566 Q12344 Q04322 	incipient cellular bud site [GO:0000131] cytosol [GO:0005829] polarisome [GO:0000133] cellular bud tip [GO:0005934] cellular bud neck [GO:0005935] late endosome [GO:0005770] plasma membrane [GO:0005886] fungal-type vacuole membrane [GO:0000329] 	GTPase activator activity [GO:0005096] Rab GTPase binding [GO:0017137] 	activation of GTPase activity [GO:0090630] endocytosis [GO:0006897] formin-nucleated actin cable assembly [GO:0070649] regulation of vesicle fusion [GO:0031338] regulation of GTPase activity [GO:0043087] intracellular protein transport [GO:0006886] exocytosis [GO:0006887] regulation of protein localization [GO:0032880] 	3	85643.3333333	749.0
0.0.0.6	P50111 P54786 	cytoplasm [GO:0005737] cell septum [GO:0030428] cellular bud tip [GO:0005934] cellular bud neck [GO:0005935] incipient cellular bud site [GO:0000131] 	protein phosphatase type 2A inhibitor activity [GO:1990681] 	mRNA export from nucleus [GO:0006406] cell wall organization [GO:0071555] chromatin silencing [GO:0006342] positive regulation of G2/M transition of mitotic cell cycle [GO:0010971] establishment of cell polarity [GO:0030010] cell aging [GO:0007569] regulation of protein localization [GO:0032880] 	2	104427.0	928.5
0.0.0.7	P08018 	cytoplasm [GO:0005737] cellular bud tip [GO:0005934] cellular bud neck [GO:0005935] NatB complex [GO:0031416] cytoplasmic stress granule [GO:0010494] 	MAP-kinase scaffold activity [GO:0005078] MAP kinase kinase activity [GO:0004708] peptide alpha-N-acetyltransferase activity [GO:0004596] ATP binding [GO:0005524] protein tyrosine kinase activity [GO:0004713] receptor signaling protein serine/threonine kinase activity [GO:0004702] 	protein phosphorylation [GO:0006468] hyperosmotic response [GO:0006972] response to antibiotic [GO:0046677] activation of MAPK activity involved in osmosensory signaling pathway [GO:0000169] osmosensory signaling pathway [GO:0007231] cellular response to heat [GO:0034605] actin filament organization [GO:0007015] MAPK import into nucleus involved in osmosensory signaling pathway [GO:0000208] N-terminal peptidyl-methionine acetylation [GO:0017196] mitotic cell cycle [GO:0000278] 	1	72720.0	668.0
0.1	P25375 P25376 P32917 P32916 Q04437 Q02875 P15180 P16522 P43535 P42951 Q04601 P36130 P50896 Q03707 P24482 P41895 P40850 Q12166 Q12168 P12754 Q07533 Q08485 P39723 P39722 P43553 P43556 Q99234 P32769 P02829 Q12083 P25333 P05030 P40460 P40462 P39012 P47116 P47112 P53746 Q04007 P38825 P38920 P53316 P32569 P43573 P43572 Q12311 P34243 P40489 P40485 P40483 P47139 P14242 P06208 P32356 Q02981 P36056 Q03162 Q06408 P11972 P32501 P34761 P22211 Q01477 Q12333 P53202 P53207 P38738 P38042 Q06251 P35172 P46151 Q07834 P32336 P38862 P36035 Q12102 P15108 P38781 P40528 Q06683 Q08683 P38250 P32833 P32786 P53048 P12688 Q05080 P42843 Q03654 Q04399 P05453 P41812 P41815 P38888 P38887 P0CD99 P36016 P36013 Q06339 P31688 Q03780 P39105 P53061 P53241 P53248 P23254 Q04377 P0CE00 P11325 P42826 P32487 P41833 P19657 P49367 P25574 P40566 P38297 P31376 P47033 P47030 P47031 P10870 P40955 Q06817 P09959 P38170 P32606 Q05670 P40897 P14747 P40090 P38769 P38760 Q06593 Q01217 P28584 P46655 P38156 Q07655 P32791 Q08387 Q12188 Q12181 P07252 P23561 P38700 P38708 Q08818 P37254 P48445 P46679 P46678 P26309 P33413 P33416 P19735 P07213 Q04279 P53185 P16862 P40050 P40053 P47050 Q12429 P39987 P39678 P39677 Q08225 Q05029 Q05021 P12945 P47912 P46951 P53169 Q12440 P05316 Q12202 Q12204 P54790 P48813 Q04233 P53145 P53140 Q04585 P53326 P40017 Q12072 Q08919 Q08912 Q12469 Q08269 Q04311 P15624 Q06216 P40357 P53128 P39923 P09435 Q01329 P54861 Q03466 Q04093 P41909 Q12387 P36102 P04801 P30624 P25360 P39016 P39011 P32909 P32901 P04397 Q02805 Q05468 P22516 P40310 P38993 P38623 P38196 P21672 P39717 P53835 P53388 P48365 P15424 P36124 P36122 P30606 P25341 Q07732 P40433 Q08754 Q04779 Q08282 P53739 P27472 Q02866 P40150 P40157 P38818 Q12175 Q06639 Q12502 Q12500 P39732 Q05812 Q12348 P50082 P50080 P37898 P21524 P31539 P09232 P53973 P32367 P32368 P54199 P38830 P38835 Q06436 Q03407 P39533 P39535 P38227 P38229 Q00711 P38085 P38084 P32770 Q12098 P53955 Q07845 P43606 P32349 P38856 Q06411 P39518 Q06677 P32571 P32578 Q08108 Q12300 Q12308 P19414 P53235 Q05164 Q05506 Q9ZZX1 P34230 P34231 P34239 P47147 P47144 Q07825 P24720 P32323 P32324 P38875 P36041 Q12114 Q02197 Q06479 P06775 P13188 Q08693 Q12325 P34218 P34217 P35999 Q03281 Q07807 Q04748 Q10740 P53918 Q02207 Q02206 P07342 Q03792 Q03824 P53051 P53278 P32797 P32794 P11484 P33203 Q03653 Q03656 Q07799 Q05930 Q05931 P27351 P53236 P25569 P36000 P36009 P06738 Q08438 P53070 P32807 P32801 P40965 P40969 Q03674 P32477 P15179 P20840 P40559 P38750 P38280 P47025 Q07980 P32864 Q05050 Q05580 P33420 Q02724 P07244 Q12748 P38149 P49956 P29056 P35817 P32454 P21538 Q08968 P31384 P47005 P47002 P53038 P53036 P32843 P53297 P48237 P07264 P07261 Q07084 P38121 P21268 P25038 P25039 P13711 P14291 P06102 P32383 P53191 P24784 P05694 P38714 Q08949 Q08491 Q12411 P35736 P28006 P15380 Q03388 P23900 Q12407 P43596 P36085 Q03770 Q04924 P54784 Q12386 P32191 P32190 Q06245 P34160 Q05998 P53848 P33329 P09880 Q06053 Q03758 Q08908 Q08905 P03879 P03876 P03874 P03875 Q12453 P38315 Q12216 P31244 P53131 P53137 P53134 P53863 P38088 P39936 P39935 P38335 P39682 P36033 Q05785 P11792 P37304 P53119 Q99257 Q08886 P33304 P38359 P38352 P39001 P17121 Q06224 P40367 P51534 Q06689 Q06488 P00958 P35056 P32589 P32580 P53394 P38254 P36115 P36114 P36117 P32525 P32831 P0CW40 	fungal-type vacuole [GO:0000324] cytoplasm [GO:0005737] Golgi apparatus [GO:0005794] mitochondrial intermembrane space [GO:0005758] 	metal ion binding [GO:0046872] metalloendopeptidase activity [GO:0004222] 	proteolysis [GO:0006508] peptide metabolic process [GO:0006518] 	462	82525.0108225	729.409090909
