Entry	Length	Mass	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
Q12471	397	45,318	fructose 2,6-bisphosphate metabolic process [GO:0006003]; fructose metabolic process [GO:0006000]; regulation of glycolytic process [GO:0006110]	6-phosphofructo-2-kinase activity [GO:0003873]; ATP binding [GO:0005524]	cytoplasm [GO:0005737]
P38720	489	53,543	cellular response to oxidative stress [GO:0034599]; D-gluconate metabolic process [GO:0019521]; pentose-phosphate shunt, oxidative branch [GO:0009051]	phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]	cytoplasm [GO:0005737]
Q02895	342	39,683	cellular aldehyde metabolic process [GO:0006081]	aryl-alcohol dehydrogenase (NAD+) activity [GO:0018456]	
P32357	355	41,688	spliceosomal tri-snRNP complex assembly [GO:0000244]		cytoplasm [GO:0005737]; U5 snRNP [GO:0005682]
Q08981	209	23,870	cell division [GO:0051301]; mitotic nuclear division [GO:0007067]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	ubiquitin-protein transferase inhibitor activity [GO:0055105]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P40535	587	65,264	cellular response to carbon dioxide [GO:0071244]; cellular response to oleic acid [GO:0071400]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter by oleic acid [GO:0061429]; regulation of transcription from RNA polymerase II promoter in response to stress [GO:0043618]	sequence-specific DNA binding [GO:0043565]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]	cytosol [GO:0005829]; nucleus [GO:0005634]
Q00955	2233	250,353	long-chain fatty acid biosynthetic process [GO:0042759]; malonyl-CoA biosynthetic process [GO:2001295]; nuclear envelope organization [GO:0006998]; protein import into nucleus [GO:0006606]	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; metal ion binding [GO:0046872]	endoplasmic reticulum membrane [GO:0005789]
Q07622	623	69,371	fungal-type cell wall organization [GO:0031505]; positive regulation of signal transduction [GO:0009967]		
P21147	510	58,403	long-chain fatty acid biosynthetic process [GO:0042759]; mitochondrion inheritance [GO:0000001]; unsaturated fatty acid biosynthetic process [GO:0006636]	electron carrier activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; stearoyl-CoA 9-desaturase activity [GO:0004768]	integral component of endoplasmic reticulum membrane [GO:0030176]
P25612	363	40,911	cellular aldehyde metabolic process [GO:0006081]	aryl-alcohol dehydrogenase (NAD+) activity [GO:0018456]	
P37898	856	97,663	glycogen metabolic process [GO:0005977]; peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]	aminopeptidase activity [GO:0004177]; metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270]	plasma membrane [GO:0005886]
P08521	25	2,979	regulation of translation [GO:0006417]	translation regulator activity [GO:0045182]	cytosol [GO:0005829]
Q02486	183	21,562	mitochondrial DNA packaging [GO:0090139]; mitochondrial genome maintenance [GO:0000002]; mitochondrion inheritance [GO:0000001]	DNA binding [GO:0003677]; DNA binding, bending [GO:0008301]	mitochondrial chromosome [GO:0000262]; mitochondrial nucleoid [GO:0042645]; nucleus [GO:0005634]
P32316	526	58,712	acetate metabolic process [GO:0006083]; acetyl-CoA metabolic process [GO:0006084]; propionate metabolic process, methylcitrate cycle [GO:0019679]	acetate CoA-transferase activity [GO:0008775]; acetyl-CoA hydrolase activity [GO:0003986]	cytosol [GO:0005829]; mitochondrion [GO:0005739]
